Datetime,100031297 (Promenade),101031297 (Promenade Radfahrer FR Mauritztor),102031297 (Promenade Radfahrer FR Salzstraße),103031297 (Promenade Radfahrer FR Mauritztor),104031297 (Promenade Radfahrer FR Salzstraße),105031297 (Promenade Radfahrer FR Mauritztor),106031297 (Promenade Radfahrer FR Salzstraße),100031297-status,101031297-status,102031297-status,103031297-status,104031297-status,105031297-status,106031297-status
2021-06-01 00:00,22,1,5,4,2,10,0,0,0,0,0,0,0,0
2021-06-01 00:15,40,0,14,8,6,11,1,0,0,0,0,0,0,0
2021-06-01 00:30,18,0,6,3,3,5,1,0,0,0,0,0,0,0
2021-06-01 00:45,11,0,0,3,2,6,0,0,0,0,0,0,0,0
2021-06-01 01:00,16,1,2,6,1,6,0,0,0,0,0,0,0,0
2021-06-01 01:15,9,0,1,4,0,3,1,0,0,0,0,0,0,0
2021-06-01 01:30,14,0,2,4,2,6,0,0,0,0,0,0,0,0
2021-06-01 01:45,6,0,2,0,1,2,1,0,0,0,0,0,0,0
2021-06-01 02:00,5,2,0,1,0,2,0,0,0,0,0,0,0,0
2021-06-01 02:15,3,0,2,0,0,1,0,0,0,0,0,0,0,0
2021-06-01 02:30,6,0,0,2,0,4,0,0,0,0,0,0,0,0
2021-06-01 02:45,6,0,1,2,0,3,0,0,0,0,0,0,0,0
2021-06-01 03:00,5,1,1,1,0,2,0,0,0,0,0,0,0,0
2021-06-01 03:15,10,0,5,2,2,0,1,0,0,0,0,0,0,0
2021-06-01 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01 03:45,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2021-06-01 04:00,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2021-06-01 04:15,12,1,6,1,3,1,0,0,0,0,0,0,0,0
2021-06-01 04:30,5,0,3,1,0,1,0,0,0,0,0,0,0,0
2021-06-01 04:45,9,0,4,0,1,4,0,0,0,0,0,0,0,0
2021-06-01 05:00,13,0,9,0,0,3,1,0,0,0,0,0,0,0
2021-06-01 05:15,20,0,10,3,2,5,0,0,0,0,0,0,0,0
2021-06-01 05:30,27,0,19,2,1,5,0,0,0,0,0,0,0,0
2021-06-01 05:45,51,0,30,1,2,18,0,0,0,0,0,0,0,0
2021-06-01 06:00,57,0,30,6,1,19,1,0,0,0,0,0,0,0
2021-06-01 06:15,114,2,64,6,7,35,0,0,0,0,0,0,0,0
2021-06-01 06:30,128,0,75,6,5,41,1,0,0,0,0,0,0,0
2021-06-01 06:45,204,2,117,6,17,61,1,0,0,0,0,0,0,0
