Datetime,"300037544 (Kanalpromenade, Abschnitt 1 (Dingstiege))","353410966 (Kanalpromenade, Abschnitt 1 (Dingstiege) Fahrräder IN)","353410967 (Kanalpromenade, Abschnitt 1 (Dingstiege) Fahrräder OUT)","353426657 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike IN])","353426659 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike IN])","353426660 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike OUT])","353426662 (Kanalpromenade, Abschnitt 1 (Dingstiege) [Bike OUT])",300037544-status,353410966-status,353410967-status,353426657-status,353426659-status,353426660-status,353426662-status
2024-04-01 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 00:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 01:45,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 02:15,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 03:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 04:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 04:15,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 05:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 06:00,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 06:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 06:45,2,0,0,0,0,1,1,0,0,0,0,0,0,0
2024-04-01 07:00,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-01 07:15,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-01 07:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 07:45,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 08:00,2,0,0,0,1,1,0,0,0,0,0,0,0,0
2024-04-01 08:15,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 08:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 08:45,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 09:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 09:30,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 09:45,8,4,0,0,0,1,3,0,0,0,0,0,0,0
2024-04-01 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 10:15,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-01 10:30,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-01 10:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01 11:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-01 11:15,2,1,0,0,0,0,1,0,0,0,0,0,0,0
2024-04-01 11:30,2,0,0,0,0,0,2,0,0,0,0,0,0,0
2024-04-01 11:45,3,1,1,0,0,0,1,0,0,0,0,0,0,0
