Datetime,100034982 (Hüfferstraße),101034982 (Hüfferstraße stadteinwärts),102034982 (Hüfferstraße stadtauswärts),100034982-status,101034982-status,102034982-status
2022-10-01 00:00,14,5,9,0,0,0
2022-10-01 00:15,13,2,11,0,0,0
2022-10-01 00:30,18,11,7,0,0,0
2022-10-01 00:45,15,10,5,0,0,0
2022-10-01 01:00,14,6,8,0,0,0
2022-10-01 01:15,13,1,12,0,0,0
2022-10-01 01:30,5,0,5,0,0,0
2022-10-01 01:45,18,3,15,0,0,0
2022-10-01 02:00,8,3,5,0,0,0
2022-10-01 02:15,6,4,2,0,0,0
2022-10-01 02:30,19,4,15,0,0,0
2022-10-01 02:45,4,1,3,0,0,0
2022-10-01 03:00,8,2,6,0,0,0
2022-10-01 03:15,13,0,13,0,0,0
2022-10-01 03:30,10,1,9,0,0,0
2022-10-01 03:45,7,0,7,0,0,0
2022-10-01 04:00,3,1,2,0,0,0
2022-10-01 04:15,5,1,4,0,0,0
2022-10-01 04:30,7,1,6,0,0,0
2022-10-01 04:45,1,1,0,0,0,0
2022-10-01 05:00,1,0,1,0,0,0
2022-10-01 05:15,10,2,8,0,0,0
2022-10-01 05:30,8,3,5,0,0,0
2022-10-01 05:45,4,2,2,0,0,0
2022-10-01 06:00,4,1,3,0,0,0
2022-10-01 06:15,1,1,0,0,0,0
2022-10-01 06:30,1,0,1,0,0,0
2022-10-01 06:45,7,5,2,0,0,0
2022-10-01 07:00,7,4,3,0,0,0
2022-10-01 07:15,4,1,3,0,0,0
2022-10-01 07:30,6,3,3,0,0,0
2022-10-01 07:45,13,6,7,0,0,0
2022-10-01 08:00,24,14,10,0,0,0
2022-10-01 08:15,15,6,9,0,0,0
2022-10-01 08:30,11,7,4,0,0,0
2022-10-01 08:45,20,12,8,0,0,0
2022-10-01 09:00,8,6,2,0,0,0
2022-10-01 09:15,20,16,4,0,0,0
2022-10-01 09:30,40,28,12,0,0,0
2022-10-01 09:45,30,17,13,0,0,0
2022-10-01 10:00,35,23,12,0,0,0
2022-10-01 10:15,45,30,15,0,0,0
2022-10-01 10:30,56,43,13,0,0,0
2022-10-01 10:45,59,31,28,0,0,0
2022-10-01 11:00,53,37,16,0,0,0
2022-10-01 11:15,62,43,19,0,0,0
2022-10-01 11:30,48,29,19,0,0,0
2022-10-01 11:45,93,60,33,0,0,0
2022-10-01 12:00,79,59,20,0,0,0
2022-10-01 12:15,83,35,48,0,0,0
2022-10-01 12:30,76,37,39,0,0,0
2022-10-01 12:45,85,51,34,0,0,0
2022-10-01 13:00,67,41,26,0,0,0
2022-10-01 13:15,82,49,33,0,0,0
2022-10-01 13:30,59,26,33,0,0,0
2022-10-01 13:45,64,25,39,0,0,0
2022-10-01 14:00,61,28,33,0,0,0
2022-10-01 14:15,58,24,34,0,0,0
2022-10-01 14:30,70,30,40,0,0,0
2022-10-01 14:45,39,15,24,0,0,0
2022-10-01 15:00,41,16,25,0,0,0
2022-10-01 15:15,60,22,38,0,0,0
2022-10-01 15:30,64,37,27,0,0,0
2022-10-01 15:45,56,21,35,0,0,0
2022-10-01 16:00,36,15,21,0,0,0
2022-10-01 16:15,48,15,33,0,0,0
2022-10-01 16:30,41,15,26,0,0,0
2022-10-01 16:45,47,22,25,0,0,0
2022-10-01 17:00,51,24,27,0,0,0
2022-10-01 17:15,44,20,24,0,0,0
2022-10-01 17:30,35,23,12,0,0,0
2022-10-01 17:45,57,19,38,0,0,0
2022-10-01 18:00,51,19,32,0,0,0
2022-10-01 18:15,46,18,28,0,0,0
2022-10-01 18:30,31,8,23,0,0,0
2022-10-01 18:45,43,13,30,0,0,0
2022-10-01 19:00,44,24,20,0,0,0
2022-10-01 19:15,47,23,24,0,0,0
2022-10-01 19:30,28,8,20,0,0,0
2022-10-01 19:45,42,22,20,0,0,0
2022-10-01 20:00,24,7,17,0,0,0
2022-10-01 20:15,25,6,19,0,0,0
2022-10-01 20:30,22,9,13,0,0,0
2022-10-01 20:45,22,9,13,0,0,0
2022-10-01 21:00,13,2,11,0,0,0
2022-10-01 21:15,13,6,7,0,0,0
2022-10-01 21:30,14,9,5,0,0,0
2022-10-01 21:45,10,3,7,0,0,0
2022-10-01 22:00,16,9,7,0,0,0
2022-10-01 22:15,18,5,13,0,0,0
2022-10-01 22:30,23,6,17,0,0,0
2022-10-01 22:45,15,4,11,0,0,0
2022-10-01 23:00,14,3,11,0,0,0
2022-10-01 23:15,5,0,5,0,0,0
2022-10-01 23:30,12,2,10,0,0,0
2022-10-01 23:45,16,4,12,0,0,0
2022-10-02 00:00,24,4,20,0,0,0
2022-10-02 00:15,13,5,8,0,0,0
2022-10-02 00:30,6,2,4,0,0,0
2022-10-02 00:45,9,1,8,0,0,0
2022-10-02 01:00,9,6,3,0,0,0
2022-10-02 01:15,5,3,2,0,0,0
2022-10-02 01:30,11,1,10,0,0,0
2022-10-02 01:45,4,1,3,0,0,0
2022-10-02 02:00,7,0,7,0,0,0
2022-10-02 02:15,10,5,5,0,0,0
2022-10-02 02:30,9,1,8,0,0,0
2022-10-02 02:45,8,1,7,0,0,0
2022-10-02 03:00,4,1,3,0,0,0
2022-10-02 03:15,9,1,8,0,0,0
2022-10-02 03:30,2,0,2,0,0,0
2022-10-02 03:45,3,1,2,0,0,0
2022-10-02 04:00,1,0,1,0,0,0
2022-10-02 04:15,5,0,5,0,0,0
2022-10-02 04:30,2,0,2,0,0,0
2022-10-02 04:45,2,1,1,0,0,0
2022-10-02 05:00,0,0,0,0,0,0
2022-10-02 05:15,1,1,0,0,0,0
2022-10-02 05:30,6,0,6,0,0,0
2022-10-02 05:45,0,0,0,0,0,0
2022-10-02 06:00,2,1,1,0,0,0
2022-10-02 06:15,2,2,0,0,0,0
2022-10-02 06:30,8,5,3,0,0,0
2022-10-02 06:45,3,0,3,0,0,0
2022-10-02 07:00,1,0,1,0,0,0
2022-10-02 07:15,4,4,0,0,0,0
2022-10-02 07:30,8,4,4,0,0,0
2022-10-02 07:45,7,6,1,0,0,0
2022-10-02 08:00,4,3,1,0,0,0
2022-10-02 08:15,6,3,3,0,0,0
2022-10-02 08:30,6,2,4,0,0,0
2022-10-02 08:45,15,9,6,0,0,0
2022-10-02 09:00,20,15,5,0,0,0
2022-10-02 09:15,13,8,5,0,0,0
2022-10-02 09:30,21,12,9,0,0,0
2022-10-02 09:45,29,23,6,0,0,0
2022-10-02 10:00,24,17,7,0,0,0
2022-10-02 10:15,24,15,9,0,0,0
2022-10-02 10:30,17,8,9,0,0,0
2022-10-02 10:45,20,12,8,0,0,0
2022-10-02 11:00,26,15,11,0,0,0
2022-10-02 11:15,20,9,11,0,0,0
2022-10-02 11:30,39,24,15,0,0,0
2022-10-02 11:45,32,19,13,0,0,0
2022-10-02 12:00,36,11,25,0,0,0
2022-10-02 12:15,44,19,25,0,0,0
2022-10-02 12:30,32,10,22,0,0,0
2022-10-02 12:45,33,17,16,0,0,0
2022-10-02 13:00,44,20,24,0,0,0
2022-10-02 13:15,43,24,19,0,0,0
2022-10-02 13:30,38,15,23,0,0,0
2022-10-02 13:45,49,17,32,0,0,0
2022-10-02 14:00,53,28,25,0,0,0
2022-10-02 14:15,35,21,14,0,0,0
2022-10-02 14:30,52,18,34,0,0,0
2022-10-02 14:45,41,23,18,0,0,0
2022-10-02 15:00,68,33,35,0,0,0
2022-10-02 15:15,65,24,41,0,0,0
2022-10-02 15:30,56,32,24,0,0,0
2022-10-02 15:45,75,33,42,0,0,0
2022-10-02 16:00,62,29,33,0,0,0
2022-10-02 16:15,61,23,38,0,0,0
2022-10-02 16:30,74,37,37,0,0,0
2022-10-02 16:45,76,38,38,0,0,0
2022-10-02 17:00,67,33,34,0,0,0
2022-10-02 17:15,40,10,30,0,0,0
2022-10-02 17:30,47,18,29,0,0,0
2022-10-02 17:45,57,29,28,0,0,0
2022-10-02 18:00,78,42,36,0,0,0
2022-10-02 18:15,56,28,28,0,0,0
2022-10-02 18:30,40,15,25,0,0,0
2022-10-02 18:45,51,24,27,0,0,0
2022-10-02 19:00,46,18,28,0,0,0
2022-10-02 19:15,28,17,11,0,0,0
2022-10-02 19:30,33,16,17,0,0,0
2022-10-02 19:45,44,13,31,0,0,0
2022-10-02 20:00,26,12,14,0,0,0
2022-10-02 20:15,37,17,20,0,0,0
2022-10-02 20:30,19,4,15,0,0,0
2022-10-02 20:45,18,9,9,0,0,0
2022-10-02 21:00,27,13,14,0,0,0
2022-10-02 21:15,15,2,13,0,0,0
2022-10-02 21:30,11,4,7,0,0,0
2022-10-02 21:45,17,5,12,0,0,0
2022-10-02 22:00,16,3,13,0,0,0
2022-10-02 22:15,15,9,6,0,0,0
2022-10-02 22:30,5,2,3,0,0,0
2022-10-02 22:45,17,5,12,0,0,0
2022-10-02 23:00,16,1,15,0,0,0
2022-10-02 23:15,17,5,12,0,0,0
2022-10-02 23:30,7,6,1,0,0,0
2022-10-02 23:45,16,6,10,0,0,0
2022-10-03 00:00,9,3,6,0,0,0
2022-10-03 00:15,5,2,3,0,0,0
2022-10-03 00:30,6,3,3,0,0,0
2022-10-03 00:45,8,5,3,0,0,0
2022-10-03 01:00,6,2,4,0,0,0
2022-10-03 01:15,4,1,3,0,0,0
2022-10-03 01:30,7,2,5,0,0,0
2022-10-03 01:45,12,2,10,0,0,0
2022-10-03 02:00,5,3,2,0,0,0
2022-10-03 02:15,6,2,4,0,0,0
2022-10-03 02:30,3,1,2,0,0,0
2022-10-03 02:45,4,0,4,0,0,0
2022-10-03 03:00,4,0,4,0,0,0
2022-10-03 03:15,1,1,0,0,0,0
